Place_ID,Name_of_place,Type,Food_Type,Category,Location_of_place,Neighborhood,Address,Vibe_Type,Crowd_Type,Has_Music,Has_Alcohol,Has_Smoking,Solo_Friendly,Group_Friendly,Phone,Price_Level,Price_Symbol,Price_Midpoint
130,Blue Ribbon Brasserie,Restaurant,American,Food,New York,SoHo,"97 Sullivan St, New York, NY 10012","Casual, Cozy",Locals,No,Yes,No,Yes,Yes,(212) 274-0404,60-120,$$$,90
131,Serafina Tribeca,Restaurant,Italian,Food,New York,Tribeca,"95 W Broadway, New York, NY 10007","Casual, Cozy, Authentic",Mixed Crowd,Ambient Music,Yes,No,Yes,Yes,(212) 766-2700,25-60,$$,42.5
132,Serafina Broadway 55th,Restaurant,Italian,Food,New York,Midtown,"210 W 55th St, New York, NY 10019","Casual, Cozy, Authentic",Mixed Crowd,Ambient Music,Yes,No,Yes,Yes,(212) 315-1700,25-60,$$,42.5
133,Kyma Hudson Yards,Restaurant,Greek,Food,New York,Hudson Yards,"445 W 35th St, New York, NY 10001","Chic, Upscale",Mixed Crowd,Ambient Music,Yes,No,Yes,Yes,(212) 967-9700,120-200,$$$$,160
134,Kyma,Restaurant,Greek,Food,New York,Flatiron,"15 W 18th St, New York, NY 10011","Chic, Upscale",Mixed Crowd,Ambient Music,Yes,No,Yes,Yes,(212) 268-5555,120-200,$$$$,160
135,Monkey Bar,Restaurant,American,Food,New York,Midtown,"60 E 54th St, New York, NY 10022","Chic, Upscale",Mixed Crowd,Ambient Music,Yes,No,Yes,Yes,(212) 404-0365,120-200,$$$$,160
136,Catch,Restaurant,Seafood,Food,New York,Meatpacking,"21 9th Ave, New York, NY 10014","Chic, Upscale",Mixed Crowd,Ambient Music,Yes,No,Yes,Yes,(212) 392-5978,120-200,$$$$,160
137,Paint 'N Pour,Activity,,Activity,New York,Lower East Side,"53 Delancey St, New York, NY 10002",Casual,Mixed Crowd,No,Yes,No,Yes,Yes,(212) 804-7037,25-60,$$,42.5
138,Skyscape,Activity,,Activity,New York,Midtown,"928 8th Ave, New York, NY 10019",Casual,"Mixed Crowd, Family",No,No,No,Yes,Yes,N/A,25-60,$$,42.5
139,Atomix,Restaurant,Korean,,New York,NoMad,"104 E 30th St, New York, NY 10016","Intimate, Chic, Upscale",Mixed Crowd,Ambient Music,Yes,No,Yes,Yes,N/A,120-200,$$$$,160
